time,from,to,value
470.00,c3.out_0,c4.in_0,9.03215101265783
480.00,c1.out_0,c2.in_0,28.950210955263532
480.00,c1.out_1,c3.in_0,28.950210955263532
480.00,c3.out_1,c4.in_1,28.950210955263532
490.00,c1.out_0,c2.in_0,67.49727955500042
490.00,c1.out_1,c3.in_0,67.49727955500042
490.00,c3.out_1,c4.in_1,67.49727955500042
500.00,c1.out_0,c2.in_0,57.92819226535285
500.00,c1.out_1,c3.in_0,57.92819226535285
500.00,c3.out_1,c4.in_1,57.92819226535285
510.00,c1.out_0,c2.in_0,14.957699047374607
510.00,c1.out_1,c3.in_0,14.957699047374607
510.00,c3.out_0,c4.in_0,14.957699047374607
520.00,c1.out_0,c2.in_0,46.970163766448245
520.00,c1.out_1,c3.in_0,46.970163766448245
520.00,c3.out_1,c4.in_1,46.970163766448245
530.00,c1.out_0,c2.in_0,8.196828764258612
530.00,c1.out_1,c3.in_0,8.196828764258612
530.00,c3.out_0,c4.in_0,8.196828764258612
540.00,c1.out_0,c2.in_0,12.81752430703601
540.00,c1.out_1,c3.in_0,12.81752430703601
540.00,c3.out_0,c4.in_0,12.81752430703601
550.00,c1.out_0,c2.in_0,52.55798453346616
550.00,c1.out_1,c3.in_0,52.55798453346616
550.00,c3.out_1,c4.in_1,52.55798453346616
560.00,c1.out_0,c2.in_0,73.26170082800033
560.00,c1.out_1,c3.in_0,73.26170082800033
560.00,c3.out_1,c4.in_1,73.26170082800033
570.00,c1.out_0,c2.in_0,77.89710479639346
570.00,c1.out_1,c3.in_0,77.89710479639346
570.00,c3.out_1,c4.in_1,77.89710479639346
580.00,c1.out_0,c2.in_0,75.96328165705802
580.00,c1.out_1,c3.in_0,75.96328165705802
580.00,c3.out_1,c4.in_1,75.96328165705802
590.00,c1.out_0,c2.in_0,59.73446514659361
590.00,c1.out_1,c3.in_0,59.73446514659361
590.00,c3.out_1,c4.in_1,59.73446514659361
600.00,c1.out_0,c2.in_0,74.69541978532041
600.00,c1.out_1,c3.in_0,74.69541978532041
600.00,c3.out_1,c4.in_1,74.69541978532041
610.00,c1.out_0,c2.in_0,66.74285740227569
610.00,c1.out_1,c3.in_0,66.74285740227569
610.00,c3.out_1,c4.in_1,66.74285740227569
620.00,c1.out_0,c2.in_0,90.22259952586552
620.00,c1.out_1,c3.in_0,90.22259952586552
620.00,c3.out_1,c4.in_1,90.22259952586552
630.00,c1.out_0,c2.in_0,60.27426582805027
630.00,c1.out_1,c3.in_0,60.27426582805027
630.00,c3.out_1,c4.in_1,60.27426582805027
640.00,c1.out_0,c2.in_0,26.91098545566748
640.00,c1.out_1,c3.in_0,26.91098545566748
640.00,c3.out_1,c4.in_1,26.91098545566748
650.00,c1.out_0,c2.in_0,28.202207771247945
650.00,c1.out_1,c3.in_0,28.202207771247945
650.00,c3.out_1,c4.in_1,28.202207771247945
660.00,c1.out_0,c2.in_0,13.158294876746545
660.00,c1.out_1,c3.in_0,13.158294876746545
660.00,c3.out_0,c4.in_0,13.158294876746545
670.00,c1.out_0,c2.in_0,64.90216619538201
670.00,c1.out_1,c3.in_0,64.90216619538201
670.00,c3.out_1,c4.in_1,64.90216619538201
680.00,c1.out_0,c2.in_0,45.18835037648547
680.00,c1.out_1,c3.in_0,45.18835037648547
680.00,c3.out_1,c4.in_1,45.18835037648547
690.00,c1.out_0,c2.in_0,84.38287614284822
690.00,c1.out_1,c3.in_0,84.38287614284822
690.00,c3.out_1,c4.in_1,84.38287614284822
700.00,c1.out_0,c2.in_0,53.881737274492146
700.00,c1.out_1,c3.in_0,53.881737274492146
700.00,c3.out_1,c4.in_1,53.881737274492146
710.00,c1.out_0,c2.in_0,26.165023195536907
710.00,c1.out_1,c3.in_0,26.165023195536907
710.00,c3.out_1,c4.in_1,26.165023195536907
720.00,c1.out_0,c2.in_0,76.46298617007652
720.00,c1.out_1,c3.in_0,76.46298617007652
720.00,c3.out_1,c4.in_1,76.46298617007652
730.00,c1.out_0,c2.in_0,90.5521370308973
730.00,c1.out_1,c3.in_0,90.5521370308973
730.00,c3.out_1,c4.in_1,90.5521370308973
740.00,c1.out_0,c2.in_0,94.11052106172612
740.00,c1.out_1,c3.in_0,94.11052106172612
740.00,c3.out_1,c4.in_1,94.11052106172612
750.00,c1.out_0,c2.in_0,73.35743659245426
750.00,c1.out_1,c3.in_0,73.35743659245426
750.00,c3.out_1,c4.in_1,73.35743659245426
760.00,c1.out_0,c2.in_0,2.521474020239245
760.00,c1.out_1,c3.in_0,2.521474020239245
760.00,c3.out_0,c4.in_0,2.521474020239245
770.00,c1.out_0,c2.in_0,90.96365634007361
770.00,c1.out_1,c3.in_0,90.96365634007361
770.00,c3.out_1,c4.in_1,90.96365634007361
780.00,c1.out_0,c2.in_0,3.04688514444752
780.00,c1.out_1,c3.in_0,3.04688514444752
780.00,c3.out_0,c4.in_0,3.04688514444752
790.00,c1.out_0,c2.in_0,26.256031932640013
790.00,c1.out_1,c3.in_0,26.256031932640013
790.00,c3.out_1,c4.in_1,26.256031932640013
800.00,c1.out_0,c2.in_0,85.57233348208936
800.00,c1.out_1,c3.in_0,85.57233348208936
800.00,c3.out_1,c4.in_1,85.57233348208936
810.00,c1.out_0,c2.in_0,60.83444898433823
810.00,c1.out_1,c3.in_0,60.83444898433823
810.00,c3.out_1,c4.in_1,60.83444898433823
820.00,c1.out_0,c2.in_0,85.52365243095656
820.00,c1.out_1,c3.in_0,85.52365243095656
820.00,c3.out_1,c4.in_1,85.52365243095656
830.00,c1.out_0,c2.in_0,45.35152941678241
830.00,c1.out_1,c3.in_0,45.35152941678241
830.00,c3.out_1,c4.in_1,45.35152941678241
840.00,c1.out_0,c2.in_0,62.295353717005575
840.00,c1.out_1,c3.in_0,62.295353717005575
840.00,c3.out_1,c4.in_1,62.295353717005575
850.00,c1.out_0,c2.in_0,94.75929564144214
850.00,c1.out_1,c3.in_0,94.75929564144214
850.00,c3.out_1,c4.in_1,94.75929564144214
860.00,c1.out_0,c2.in_0,55.15608144789669
860.00,c1.out_1,c3.in_0,55.15608144789669
860.00,c3.out_1,c4.in_1,55.15608144789669
870.00,c1.out_0,c2.in_0,92.66427352554538
870.00,c1.out_1,c3.in_0,92.66427352554538
870.00,c3.out_1,c4.in_1,92.66427352554538
880.00,c1.out_0,c2.in_0,34.56529531644888
880.00,c1.out_1,c3.in_0,34.56529531644888
880.00,c3.out_1,c4.in_1,34.56529531644888
890.00,c1.out_0,c2.in_0,32.86323875961384
890.00,c1.out_1,c3.in_0,32.86323875961384
890.00,c3.out_1,c4.in_1,32.86323875961384
900.00,c1.out_0,c2.in_0,13.282950946877436
900.00,c1.out_1,c3.in_0,13.282950946877436
900.00,c3.out_0,c4.in_0,13.282950946877436
910.00,c1.out_0,c2.in_0,87.57118065832228
910.00,c1.out_1,c3.in_0,87.57118065832228
910.00,c3.out_1,c4.in_1,87.57118065832228
920.00,c1.out_0,c2.in_0,92.00190543362726
920.00,c1.out_1,c3.in_0,92.00190543362726
920.00,c3.out_1,c4.in_1,92.00190543362726
930.00,c1.out_0,c2.in_0,4.989082337228911
930.00,c1.out_1,c3.in_0,4.989082337228911
930.00,c3.out_0,c4.in_0,4.989082337228911
940.00,c1.out_0,c2.in_0,46.6274202878338
940.00,c1.out_1,c3.in_0,46.6274202878338
940.00,c3.out_1,c4.in_1,46.6274202878338
950.00,c1.out_0,c2.in_0,66.41464060089972
950.00,c1.out_1,c3.in_0,66.41464060089972
950.00,c3.out_1,c4.in_1,66.41464060089972
960.00,c1.out_0,c2.in_0,13.416201025030094
960.00,c1.out_1,c3.in_0,13.416201025030094
960.00,c3.out_0,c4.in_0,13.416201025030094
970.00,c1.out_0,c2.in_0,23.15018537174467
970.00,c1.out_1,c3.in_0,23.15018537174467
980.00,c1.out_0,c2.in_0,49.721751566200844
980.00,c1.out_1,c3.in_0,49.721751566200844
980.00,c3.out_1,c4.in_1,49.721751566200844
990.00,c1.out_0,c2.in_0,60.96852796220663
990.00,c1.out_1,c3.in_0,60.96852796220663
990.00,c3.out_1,c4.in_1,60.96852796220663
1000.00,c1.out_0,c2.in_0,88.70179394998806
1000.00,c1.out_1,c3.in_0,88.70179394998806
1000.00,c3.out_1,c4.in_1,88.70179394998806
